id;name;description;price;size;image;image_content_type
1;Steel;Assistant;57374;S;../fake-data/blob/hipster.png;image/png
2;reboot;deposit Track actuating;64964;S;../fake-data/blob/hipster.png;image/png
3;Card;navigating Michigan;32061;L;../fake-data/blob/hipster.png;image/png
4;Generic;Lao;29161;M;../fake-data/blob/hipster.png;image/png
5;throughput;Data distributed;20505;S;../fake-data/blob/hipster.png;image/png
6;Shirt Ethiopia;Crossroad CSS;15521;XXL;../fake-data/blob/hipster.png;image/png
7;Ball pixel;Account;68319;XL;../fake-data/blob/hipster.png;image/png
8;online virtual;hacking;36445;XXL;../fake-data/blob/hipster.png;image/png
9;Data;sticky Harbors Automotive;41021;S;../fake-data/blob/hipster.png;image/png
10;deposit;Cambridgeshire Chair;31837;XL;../fake-data/blob/hipster.png;image/png
