id;placed_date;status;code;invoice_id
1;2021-05-08T00:33:40;CANCELLED;ivory withdrawal;one-to-one Corporate
2;2021-05-07T14:54:27;CANCELLED;withdrawal Supervisor Music;program
3;2021-05-07T10:27:50;COMPLETED;Square revolutionize;Kyat Toys
4;2021-05-08T03:56:11;CANCELLED;Industrial Checking Right-sized;Cotton Reactive
5;2021-05-08T00:58:17;COMPLETED;Market input;system Automotive Principal
6;2021-05-07T18:22:15;PENDING;Cambridgeshire;Program
7;2021-05-07T09:58:17;PENDING;Baht;Shirt
8;2021-05-07T21:53:42;PENDING;extranet;Handmade
9;2021-05-07T23:37:33;PENDING;Assistant Oro Gloves;Forint Web
10;2021-05-08T04:03:34;CANCELLED;paradigms Cheese;Coordinator azure
